bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15,caro
3,2,1830,10873,1,3,8,1830,0,1989,2490,8976,1
3,1.5,1330,7600,1,4,7,1330,0,1968,1500,7776,1
3,2.25,1850,7800,2,3,9,1850,0,1974,2360,8000,1
5,1,1410,9000,1,5,7,1410,0,1967,1200,8346,1
4,2.25,2930,9840,1,4,8,1560,1370,1977,2800,8374,0
2,1,1200,9000,1,3,6,1200,0,1958,1040,9600,1
6,1.5,2550,33740,1,4,8,1750,800,1958,2010,28200,0
3,1.75,1460,7800,1,2,7,1040,420,1979,1310,7865,1
3,2.25,1960,7708,1,4,7,1490,470,1984,1580,8063,0
4,2.75,2330,7200,1,4,8,1560,770,1977,2350,7600,0
3,1.75,1290,6604,1,3,7,1290,0,1984,1440,6682,1
3,1,1660,8800,1,4,7,960,700,1963,1370,10112,0
4,1.75,2190,8400,2,2,8,2190,0,1978,2410,7700,0
3,1.75,1220,8817,1,3,7,1220,0,1978,2000,8028,1
4,2.5,1930,9653,1,4,9,1930,0,1968,2100,10454,1
3,2,2850,19200,1,3,8,2340,510,2004,2860,18240,1
3,2.5,1990,7577,2,3,7,1990,0,1990,1900,7152,0
3,2.25,1440,10500,1,3,8,1130,310,1983,1510,8125,1
3,2,1520,7131,1,3,8,1520,0,1993,1890,7379,1
3,1.75,1790,7485,1,4,8,1330,460,1979,1970,8097,0
4,1,1540,7350,1,4,6,770,770,1969,910,8000,0
4,4,3530,10935,2,3,10,3530,0,1992,3360,11250,0
3,2.25,1980,8000,1,4,9,1560,420,1974,2360,8000,1
3,1.75,1680,7455,1,4,8,1680,0,1968,2040,8214,0
4,1.75,1980,9000,1,2,7,1480,500,1978,1980,9360,0
3,1,1010,6400,1,3,7,1010,0,1971,1820,6500,1
4,1.75,1960,7950,1,4,8,1960,0,1967,1960,8400,0
3,2.25,1540,5449,1,2,7,1180,360,1989,1460,6740,0
3,2.5,2400,9701,1,3,9,2400,0,1990,2400,8258,0
3,2.25,1810,8262,2,4,8,1810,0,1981,1820,8262,1
4,2.25,2000,9000,1,4,8,2000,0,1978,2190,8374,1
3,2.5,2370,9102,2,3,9,2370,0,1990,2530,9883,0
3,1.5,1080,9774,1,3,7,1080,0,1968,1190,9611,1
4,2.5,2510,8580,2,4,8,2510,0,1991,2290,7809,0
3,2.25,1500,7210,1,3,7,1150,350,1984,1500,7210,1
3,1,1000,12000,1,3,7,1000,0,1959,1490,14940,1
2,2,1700,7992,1,4,7,950,750,1980,1700,8030,1
3,2,1820,7750,1,3,8,1820,0,1992,2080,8084,0
4,1.75,1930,7650,1,4,8,1280,650,1981,1860,8800,0
4,2,1200,8470,1,4,7,1200,0,1961,1110,8400,1
3,1.5,1750,7000,2,3,8,1750,0,1983,1840,9305,0
2,1,1100,7323,1,3,7,780,320,1982,1410,7227,1
3,2.5,1850,7200,1,3,7,1500,350,1979,2140,7500,0
3,2.25,1730,10030,1,4,8,1730,0,1985,2090,8823,1
3,1,1100,9750,1,4,7,1100,0,1966,1190,9750,1
3,1.75,3140,8571,1,4,8,1670,1470,1985,2590,7949,0
4,2.25,3220,7889,2,3,8,3220,0,1978,2120,7651,0
4,3.5,3360,9767,2,3,9,2450,910,1990,2580,8757,0
4,2.5,3140,22100,1,4,8,1820,1320,1960,2700,25500,0
4,1,1620,17500,1,3,7,1620,0,1962,2400,17394,0
3,1.5,800,8850,1,4,6,800,0,1959,820,8775,1
4,2.5,3360,11637,2,3,11,3360,0,1990,3530,11205,0
3,2,1540,7210,2,4,7,1540,0,1984,1500,7210,1
3,1,1270,7344,1,3,7,970,300,1967,1290,7300,1
4,2.75,1830,7315,1,5,7,1250,580,1979,1730,7208,0
3,2,1900,8002,1,3,7,1900,0,1991,1900,6086,0
4,2.5,1750,11400,2,4,7,1750,0,1975,1890,9024,0
3,1.5,960,6497,1,4,7,960,0,1970,1160,7080,1
3,1,900,2550,1,4,6,900,0,1978,1120,2550,0
4,2.5,2550,7349,2,3,9,2550,0,1989,2400,8508,0
3,1.5,1480,9606,1,4,7,1100,380,1964,1600,9619,0
3,2.25,1850,7151,2,3,7,1850,0,1989,1710,6827,0
3,1,840,8400,1,3,6,840,0,1959,1030,8640,1
4,2.5,2020,5100,2,3,7,2020,0,2010,2300,5685,1
4,4,4168,8485,2,3,10,3222,946,2007,4362,8100,0
5,3.5,3931,9497,2,3,10,2650,1281,2014,3510,9497,0
4,2.5,2423,7292,2,3,8,2423,0,2005,2495,7489,0
3,2.5,2655,5080,2,3,8,2655,0,2013,2879,5232,1
4,3.25,3444,5166,2,3,8,2714,730,2014,2848,5182,0
4,3.5,2584,5005,2,3,8,2584,0,2014,2767,5201,1
4,3.25,3266,5398,2,3,8,3266,0,2014,3087,5152,0
4,3.25,2880,5929,2.5,3,8,2880,0,2014,2880,5846,1
5,4.25,4110,42755,2,3,10,2970,1140,2000,2730,12750,1
4,2.5,3172,5033,2,3,8,3172,0,2014,2704,5232,0
4,3.25,3266,5969,2,3,8,3266,0,2014,3087,5169,0
4,2.5,2300,9690,2,3,8,2300,0,2006,1200,9085,0
